Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season,Salaries
Harbhajan Singh,Mumbai Indians,11.21,26.67,37.88,37.88,2011,2011,Harbhajan Singh|Mumbai Indians,Harbhajan Singh|Mumbai Indians|2011,850000
I Sharma,Deccan Chargers,-0.43,-31.29,-31.72,-31.71,2011,2011,I Sharma|Deccan Chargers,I Sharma|Deccan Chargers|2011,450000
Iqbal Abdulla,Kolkata Knight Riders,4.87,141.97,146.84,146.84,2011,2011,Iqbal Abdulla|Kolkata Knight Riders,Iqbal Abdulla|Kolkata Knight Riders|2011,#N/A
J Botha,Rajasthan Royals,-18.09,66.57,48.48,48.48,2011,2011,J Botha|Rajasthan Royals,J Botha|Rajasthan Royals|2011,950000
JA Morkel,Chennai Super Kings,10.47,-188.55,-178.08,-178.08,2011,2011,JA Morkel|Chennai Super Kings,JA Morkel|Chennai Super Kings|2011,675000
JD Ryder,Pune Warriors,46.48,-12.96,33.52,33.52,2011,2011,JD Ryder|Pune Warriors,JD Ryder|Pune Warriors|2011,150000
JH Kallis,Kolkata Knight Riders,-30.48,11.87,-18.61,-18.61,2011,2011,JH Kallis|Kolkata Knight Riders,JH Kallis|Kolkata Knight Riders|2011,1100000
JP Duminy,Deccan Chargers,-13.32,-54.42,-67.74,-67.74,2011,2011,JP Duminy|Deccan Chargers,JP Duminy|Deccan Chargers|2011,300000
KA Pollard,Mumbai Indians,-2.39,-191.47,-193.86,-193.86,2011,2011,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2011,750000
KC Sangakkara,Deccan Chargers,-14.76,0,-14.76,-14.76,2011,2011,KC Sangakkara|Deccan Chargers,KC Sangakkara|Deccan Chargers|2011,700000
KD Karthik,Kings XI Punjab,20.85,0,20.85,20.85,2011,2011,KD Karthik|Kings XI Punjab,KD Karthik|Kings XI Punjab|2011,900000
M Vijay,Chennai Super Kings,21.27,0,21.27,21.27,2011,2011,M Vijay|Chennai Super Kings,M Vijay|Chennai Super Kings|2011,#N/A
MEK Hussey,Chennai Super Kings,-24.69,0,-24.69,-24.69,2011,2011,MEK Hussey|Chennai Super Kings,MEK Hussey|Chennai Super Kings|2011,425000
MK Pandey,Pune Warriors,-29.55,0,-29.55,-29.55,2011,2011,MK Pandey|Pune Warriors,MK Pandey|Pune Warriors|2011,#N/A
MK Tiwary,Kolkata Knight Riders,-33.69,-8.15,-41.84,-41.84,2011,2011,MK Tiwary|Kolkata Knight Riders,MK Tiwary|Kolkata Knight Riders|2011,475000
MM Patel,Mumbai Indians,-0.84,32.67,31.83,31.83,2011,2011,MM Patel|Mumbai Indians,MM Patel|Mumbai Indians|2011,700000
MS Dhoni,Chennai Super Kings,85.61,0,85.61,85.61,2011,2011,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2011,1500000
PC Valthaty,Kings XI Punjab,32.47,-17.2,15.27,15.27,2011,2011,PC Valthaty|Kings XI Punjab,PC Valthaty|Kings XI Punjab|2011,#N/A
PP Chawla,Kings XI Punjab,1.57,-86.1,-84.53,-84.53,2011,2011,PP Chawla|Kings XI Punjab,PP Chawla|Kings XI Punjab|2011,900000
R Ashwin,Chennai Super Kings,-3.31,180.03,176.72,176.72,2011,2011,R Ashwin|Chennai Super Kings,R Ashwin|Chennai Super Kings|2011,850000
R Dravid,Rajasthan Royals,-35.44,0,-35.44,-35.44,2011,2011,R Dravid|Rajasthan Royals,R Dravid|Rajasthan Royals|2011,500000
R Sharma,Pune Warriors,3.65,252.04,255.69,255.69,2011,2011,R Sharma|Pune Warriors,R Sharma|Pune Warriors|2011,#N/A
R Vinay Kumar,Kochi Tuskers Kerala,3.52,-68.84,-65.32,-65.32,2011,2011,R Vinay Kumar|Kochi Tuskers Kerala,R Vinay Kumar|Kochi Tuskers Kerala|2011,475000
RA Jadeja,Kochi Tuskers Kerala,6.68,8.45,15.13,15.13,2011,2011,RA Jadeja|Kochi Tuskers Kerala,RA Jadeja|Kochi Tuskers Kerala|2011,950000
RG Sharma,Mumbai Indians,28.39,-23.29,5.1,5.09,2011,2011,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2011,2000000
RJ Harris,Kings XI Punjab,-6.8,-144.21,-151.01,-151.01,2011,2011,RJ Harris|Kings XI Punjab,RJ Harris|Kings XI Punjab|2011,325000
RP Singh,Kochi Tuskers Kerala,0.42,-29.55,-29.13,-29.13,2011,2011,RP Singh|Kochi Tuskers Kerala,RP Singh|Kochi Tuskers Kerala|2011,500000
RV Uthappa,Pune Warriors,10.12,0,10.12,10.12,2011,2011,RV Uthappa|Pune Warriors,RV Uthappa|Pune Warriors|2011,2100000
S Aravind,Royal Challengers Bangalore,9.05,-116.51,-107.46,-107.46,2011,2011,S Aravind|Royal Challengers Bangalore,S Aravind|Royal Challengers Bangalore|2011,#N/A
S Badrinath,Chennai Super Kings,-0.95,0,-0.95,-0.95,2011,2011,S Badrinath|Chennai Super Kings,S Badrinath|Chennai Super Kings|2011,800000
S Dhawan,Deccan Chargers,13.34,3.43,16.77,16.76,2011,2011,S Dhawan|Deccan Chargers,S Dhawan|Deccan Chargers|2011,300000
SB Jakati,Chennai Super Kings,0,-39.96,-39.96,-39.96,2011,2011,SB Jakati|Chennai Super Kings,SB Jakati|Chennai Super Kings|2011,#N/A
SE Marsh,Kings XI Punjab,34.38,0,34.38,34.38,2011,2011,SE Marsh|Kings XI Punjab,SE Marsh|Kings XI Punjab|2011,400000
SK Raina,Chennai Super Kings,49.48,-24.79,24.69,24.69,2011,2011,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2011,650000
SK Trivedi,Rajasthan Royals,-0.79,-143.25,-144.04,-144.04,2011,2011,SK Trivedi|Rajasthan Royals,SK Trivedi|Rajasthan Royals|2011,#N/A
SK Warne,Rajasthan Royals,-9.37,146.71,137.34,137.34,2011,2011,SK Warne|Rajasthan Royals,SK Warne|Rajasthan Royals|2011,450000
SL Malinga,Mumbai Indians,0.03,134.03,134.06,134.07,2011,2011,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2011,#N/A
SR Tendulkar,Mumbai Indians,-32.27,0,-32.27,-32.27,2011,2011,SR Tendulkar|Mumbai Indians,SR Tendulkar|Mumbai Indians|2011,#N/A
SR Watson,Rajasthan Royals,17.3,30.05,47.35,47.35,2011,2011,SR Watson|Rajasthan Royals,SR Watson|Rajasthan Royals|2011,125000
Shakib Al Hasan,Kolkata Knight Riders,4.8,28.24,33.04,33.04,2011,2011,Shakib Al Hasan|Kolkata Knight Riders,Shakib Al Hasan|Kolkata Knight Riders|2011,425000
TM Dilshan,Royal Challengers Bangalore,8.4,-57.34,-48.94,-48.94,2011,2011,TM Dilshan|Royal Challengers Bangalore,TM Dilshan|Royal Challengers Bangalore|2011,650000
V Kohli,Royal Challengers Bangalore,-36.12,-14.98,-51.1,-51.1,2011,2011,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2011,#N/A
V Sehwag,Delhi Daredevils,74.66,0,74.66,74.66,2011,2011,V Sehwag|Delhi Daredevils,V Sehwag|Delhi Daredevils|2011,#N/A
YK Pathan,Kolkata Knight Riders,46.55,57.18,103.73,103.73,2011,2011,YK Pathan|Kolkata Knight Riders,YK Pathan|Kolkata Knight Riders|2011,2100000
Yuvraj Singh,Pune Warriors,34.67,42.99,77.66,77.66,2011,2011,Yuvraj Singh|Pune Warriors,Yuvraj Singh|Pune Warriors|2011,1800000
Z Khan,Royal Challengers Bangalore,-0.24,-122.15,-122.39,-122.39,2011,2011,Z Khan|Royal Challengers Bangalore,Z Khan|Royal Challengers Bangalore|2011,900000
A Ashish Reddy,Deccan Chargers,1.01,214.57,215.58,215.59,2012,2012,A Ashish Reddy|Deccan Chargers,A Ashish Reddy|Deccan Chargers|2012,#N/A
A Mishra,Deccan Chargers,-2.77,298.71,295.94,295.93,2012,2012,A Mishra|Deccan Chargers,A Mishra|Deccan Chargers|2012,300000
A Nehra,Pune Warriors,1.62,377.68,379.3,379.3,2012,2012,A Nehra|Pune Warriors,A Nehra|Pune Warriors|2012,#N/A
A Singh,Rajasthan Royals,-3.41,161,157.59,157.59,2012,2012,A Singh|Rajasthan Royals,A Singh|Rajasthan Royals|2012,#N/A
AB de Villiers,Royal Challengers Bangalore,343.32,0,343.32,343.32,2012,2012,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2012,1100000
AL Menaria,Rajasthan Royals,-31.09,31.38,0.29,0.28,2012,2012,AL Menaria|Rajasthan Royals,AL Menaria|Rajasthan Royals|2012,#N/A
AM Rahane,Rajasthan Royals,-14.96,0,-14.96,-14.96,2012,2012,AM Rahane|Rajasthan Royals,AM Rahane|Rajasthan Royals|2012,#N/A
AT Rayudu,Mumbai Indians,7.61,0,7.61,7.61,2012,2012,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2012,#N/A
Azhar Mahmood,Kings XI Punjab,9.82,442.35,452.17,452.16,2012,2012,Azhar Mahmood|Kings XI Punjab,Azhar Mahmood|Kings XI Punjab|2012,200000
BB McCullum,Kolkata Knight Riders,-48.06,0,-48.06,-48.06,2012,2012,BB McCullum|Kolkata Knight Riders,BB McCullum|Kolkata Knight Riders|2012,900000
BJ Hodge,Rajasthan Royals,30.39,-0.52,29.87,29.87,2012,2012,BJ Hodge|Rajasthan Royals,BJ Hodge|Rajasthan Royals|2012,475000
BW Hilfenhaus,Chennai Super Kings,0,408.92,408.92,408.92,2012,2012,BW Hilfenhaus|Chennai Super Kings,BW Hilfenhaus|Chennai Super Kings|2012,#N/A
CH Gayle,Royal Challengers Bangalore,950.8,-3.57,947.23,947.23,2012,2012,CH Gayle|Royal Challengers Bangalore,CH Gayle|Royal Challengers Bangalore|2012,650000
CL White,Deccan Chargers,89.13,8.14,97.27,97.28,2012,2012,CL White|Deccan Chargers,CL White|Deccan Chargers|2012,1100000
DA Warner,Delhi Daredevils,49.37,0,49.37,49.37,2012,2012,DA Warner|Delhi Daredevils,DA Warner|Delhi Daredevils|2012,750000
DJ Bravo,Chennai Super Kings,622.46,-998.93,-376.47,-376.46,2012,2012,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2012,200000
DJ Hussey,Kings XI Punjab,24.48,92.94,117.42,117.41,2012,2012,DJ Hussey|Kings XI Punjab,DJ Hussey|Kings XI Punjab|2012,1400000
DPMD Jayawardene,Delhi Daredevils,-24.38,0,-24.38,-24.38,2012,2012,DPMD Jayawardene|Delhi Daredevils,DPMD Jayawardene|Delhi Daredevils|2012,1400000
DW Steyn,Deccan Chargers,0.23,706.28,706.51,706.51,2012,2012,DW Steyn|Deccan Chargers,DW Steyn|Deccan Chargers|2012,1200000
F du Plessis,Chennai Super Kings,488.95,-4.29,484.66,484.66,2012,2012,F du Plessis|Chennai Super Kings,F du Plessis|Chennai Super Kings|2012,#N/A
G Gambhir,Kolkata Knight Riders,39.42,0,39.42,39.42,2012,2012,G Gambhir|Kolkata Knight Riders,G Gambhir|Kolkata Knight Riders|2012,2400000
GB Hogg,Rajasthan Royals,-3.39,423.44,420.05,420.05,2012,2012,GB Hogg|Rajasthan Royals,GB Hogg|Rajasthan Royals|2012,180000
JA Morkel,Chennai Super Kings,320.43,-1680.15,-1359.72,-1359.73,2012,2012,JA Morkel|Chennai Super Kings,JA Morkel|Chennai Super Kings|2012,675000
JD Ryder,Pune Warriors,-21.21,6.05,-15.16,-15.16,2012,2012,JD Ryder|Pune Warriors,JD Ryder|Pune Warriors|2012,150000
JH Kallis,Kolkata Knight Riders,-64.6,592.76,528.16,528.15,2012,2012,JH Kallis|Kolkata Knight Riders,JH Kallis|Kolkata Knight Riders|2012,1100000
JP Duminy,Deccan Chargers,9.05,70.56,79.61,79.61,2012,2012,JP Duminy|Deccan Chargers,JP Duminy|Deccan Chargers|2012,300000
KA Pollard,Mumbai Indians,23.91,199.59,223.5,223.51,2012,2012,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2012,750000
KC Sangakkara,Deccan Chargers,-28.97,0,-28.97,-28.97,2012,2012,KC Sangakkara|Deccan Chargers,KC Sangakkara|Deccan Chargers|2012,700000
KK Cooper,Rajasthan Royals,15.34,207.08,222.42,222.42,2012,2012,KK Cooper|Rajasthan Royals,KK Cooper|Rajasthan Royals|2012,#N/A
KP Pietersen,Delhi Daredevils,35.49,33.28,68.77,68.77,2012,2012,KP Pietersen|Delhi Daredevils,KP Pietersen|Delhi Daredevils|2012,1550000
L Balaji,Kolkata Knight Riders,0,484.63,484.63,484.63,2012,2012,L Balaji|Kolkata Knight Riders,L Balaji|Kolkata Knight Riders|2012,500000
M Morkel,Delhi Daredevils,-2.68,728.55,725.87,725.87,2012,2012,M Morkel|Delhi Daredevils,M Morkel|Delhi Daredevils|2012,475000
M Muralitharan,Royal Challengers Bangalore,-2.05,-132.03,-134.08,-134.07,2012,2012,M Muralitharan|Royal Challengers Bangalore,M Muralitharan|Royal Challengers Bangalore|2012,220000
M Vijay,Chennai Super Kings,215.1,0,215.1,215.1,2012,2012,M Vijay|Chennai Super Kings,M Vijay|Chennai Super Kings|2012,#N/A
MEK Hussey,Chennai Super Kings,-22.04,0,-22.04,-22.04,2012,2012,MEK Hussey|Chennai Super Kings,MEK Hussey|Chennai Super Kings|2012,425000
MK Tiwary,Kolkata Knight Riders,-24.37,0,-24.37,-24.37,2012,2012,MK Tiwary|Kolkata Knight Riders,MK Tiwary|Kolkata Knight Riders|2012,475000
MM Patel,Mumbai Indians,-3.05,478.61,475.56,475.57,2012,2012,MM Patel|Mumbai Indians,MM Patel|Mumbai Indians|2012,700000
MS Bisla,Kolkata Knight Riders,12.17,0,12.17,12.17,2012,2012,MS Bisla|Kolkata Knight Riders,MS Bisla|Kolkata Knight Riders|2012,#N/A
MS Dhoni,Chennai Super Kings,470.03,0,470.03,470.03,2012,2012,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2012,1500000
Mandeep Singh,Kings XI Punjab,-12.96,0,-12.96,-12.96,2012,2012,Mandeep Singh|Kings XI Punjab,Mandeep Singh|Kings XI Punjab|2012,#N/A
NV Ojha,Delhi Daredevils,-23.99,0,-23.99,-23.99,2012,2012,NV Ojha|Delhi Daredevils,NV Ojha|Delhi Daredevils|2012,270000
OA Shah,Rajasthan Royals,15.89,0,15.89,15.89,2012,2012,OA Shah|Rajasthan Royals,OA Shah|Rajasthan Royals|2012,200000
P Awana,Kings XI Punjab,-0.47,361.72,361.25,361.25,2012,2012,P Awana|Kings XI Punjab,P Awana|Kings XI Punjab|2012,#N/A
PP Chawla,Kings XI Punjab,4.84,593.29,598.13,598.14,2012,2012,PP Chawla|Kings XI Punjab,PP Chawla|Kings XI Punjab|2012,900000
R Ashwin,Chennai Super Kings,0.96,-2087.77,-2086.81,-2086.81,2012,2012,R Ashwin|Chennai Super Kings,R Ashwin|Chennai Super Kings|2012,850000
R Bhatia,Kolkata Knight Riders,0.51,390.44,390.95,390.95,2012,2012,R Bhatia|Kolkata Knight Riders,R Bhatia|Kolkata Knight Riders|2012,#N/A
R Dravid,Rajasthan Royals,-35.96,0,-35.96,-35.96,2012,2012,R Dravid|Rajasthan Royals,R Dravid|Rajasthan Royals|2012,500000
R Vinay Kumar,Royal Challengers Bangalore,394.54,-3143.24,-2748.7,-2748.69,2012,2012,R Vinay Kumar|Royal Challengers Bangalore,R Vinay Kumar|Royal Challengers Bangalore|2012,1000000
RA Jadeja,Chennai Super Kings,689.87,-1023.83,-333.96,-333.96,2012,2012,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2012,2000000
RG Sharma,Mumbai Indians,18.68,-4.82,13.86,13.85,2012,2012,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2012,2000000
RV Uthappa,Pune Warriors,-14.27,0,-14.27,-14.27,2012,2012,RV Uthappa|Pune Warriors,RV Uthappa|Pune Warriors|2012,2100000
S Dhawan,Deccan Chargers,42.85,11.54,54.39,54.4,2012,2012,S Dhawan|Deccan Chargers,S Dhawan|Deccan Chargers|2012,300000
SC Ganguly,Pune Warriors,-75.37,27.3,-48.07,-48.07,2012,2012,SC Ganguly|Pune Warriors,SC Ganguly|Pune Warriors|2012,400000
SE Marsh,Kings XI Punjab,-46.43,0,-46.43,-46.43,2012,2012,SE Marsh|Kings XI Punjab,SE Marsh|Kings XI Punjab|2012,400000
SK Raina,Chennai Super Kings,580.23,-440.14,140.09,140.09,2012,2012,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2012,650000
SK Trivedi,Rajasthan Royals,-0.36,587.24,586.88,586.88,2012,2012,SK Trivedi|Rajasthan Royals,SK Trivedi|Rajasthan Royals|2012,#N/A
SL Malinga,Mumbai Indians,-7.48,781.71,774.23,774.23,2012,2012,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2012,#N/A
SP Narine,Kolkata Knight Riders,-0.09,1010.18,1010.09,1010.09,2012,2012,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2012,700000
SPD Smith,Pune Warriors,32.06,-1.27,30.79,30.79,2012,2012,SPD Smith|Pune Warriors,SPD Smith|Pune Warriors|2012,#N/A
SR Tendulkar,Mumbai Indians,-18.45,0,-18.45,-18.45,2012,2012,SR Tendulkar|Mumbai Indians,SR Tendulkar|Mumbai Indians|2012,#N/A
SR Watson,Rajasthan Royals,48.93,273.08,322.01,322.01,2012,2012,SR Watson|Rajasthan Royals,SR Watson|Rajasthan Royals|2012,125000
Shakib Al Hasan,Kolkata Knight Riders,-2.4,399.82,397.42,397.42,2012,2012,Shakib Al Hasan|Kolkata Knight Riders,Shakib Al Hasan|Kolkata Knight Riders|2012,425000
TM Dilshan,Royal Challengers Bangalore,-43.07,2.62,-40.45,-40.44,2012,2012,TM Dilshan|Royal Challengers Bangalore,TM Dilshan|Royal Challengers Bangalore|2012,650000
UT Yadav,Delhi Daredevils,-4.26,686.5,682.24,682.24,2012,2012,UT Yadav|Delhi Daredevils,UT Yadav|Delhi Daredevils|2012,#N/A
V Kohli,Royal Challengers Bangalore,346.91,-175.18,171.73,171.73,2012,2012,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2012,#N/A
V Pratap Singh,Deccan Chargers,-0.72,246.39,245.67,245.67,2012,2012,V Pratap Singh|Deccan Chargers,V Pratap Singh|Deccan Chargers|2012,#N/A
V Sehwag,Delhi Daredevils,112.98,1.86,114.84,114.84,2012,2012,V Sehwag|Delhi Daredevils,V Sehwag|Delhi Daredevils|2012,#N/A
Z Khan,Royal Challengers Bangalore,-4.86,-1644.48,-1649.34,-1649.34,2012,2012,Z Khan|Royal Challengers Bangalore,Z Khan|Royal Challengers Bangalore|2012,900000
A Mishra,Sunrisers Hyderabad,135.97,-566.57,-430.6,-430.6,2013,2013,A Mishra|Sunrisers Hyderabad,A Mishra|Sunrisers Hyderabad|2013,300000
A Nehra,Delhi Daredevils,-3.69,48.75,45.06,45.06,2013,2013,A Nehra|Delhi Daredevils,A Nehra|Delhi Daredevils|2013,#N/A
AB Dinda,Pune Warriors,3.3,-1619.49,-1616.19,-1616.19,2013,2013,AB Dinda|Pune Warriors,AB Dinda|Pune Warriors|2013,375000
AB de Villiers,Royal Challengers Bangalore,108.6,0,108.6,108.6,2013,2013,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2013,1100000
AC Gilchrist,Kings XI Punjab,23.07,1.56,24.63,24.63,2013,2013,AC Gilchrist|Kings XI Punjab,AC Gilchrist|Kings XI Punjab|2013,900000
AJ Finch,Pune Warriors,475.92,-22.16,453.76,453.76,2013,2013,AJ Finch|Pune Warriors,AJ Finch|Pune Warriors|2013,300000
AM Rahane,Rajasthan Royals,-69.42,0,-69.42,-69.42,2013,2013,AM Rahane|Rajasthan Royals,AM Rahane|Rajasthan Royals|2013,60000
AT Rayudu,Mumbai Indians,-25.93,0,-25.93,-25.93,2013,2013,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2013,#N/A
Azhar Mahmood,Kings XI Punjab,11.15,213.23,224.38,224.38,2013,2013,Azhar Mahmood|Kings XI Punjab,Azhar Mahmood|Kings XI Punjab|2013,200000
B Kumar,Pune Warriors,9.53,-575.45,-565.92,-565.92,2013,2013,B Kumar|Pune Warriors,B Kumar|Pune Warriors|2013,60000
BJ Hodge,Rajasthan Royals,1.87,6.57,8.44,8.44,2013,2013,BJ Hodge|Rajasthan Royals,BJ Hodge|Rajasthan Royals|2013,475000
CH Gayle,Royal Challengers Bangalore,148.41,-10.07,138.34,138.33,2013,2013,CH Gayle|Royal Challengers Bangalore,CH Gayle|Royal Challengers Bangalore|2013,2000000
CH Morris,Chennai Super Kings,-1.93,144.05,142.12,142.12,2013,2013,CH Morris|Chennai Super Kings,CH Morris|Chennai Super Kings|2013,625000
CL White,Sunrisers Hyderabad,-23.96,2.79,-21.17,-21.17,2013,2013,CL White|Sunrisers Hyderabad,CL White|Sunrisers Hyderabad|2013,1100000
DA Miller,Kings XI Punjab,99.83,0,99.83,99.83,2013,2013,DA Miller|Kings XI Punjab,DA Miller|Kings XI Punjab|2013,100000
DA Warner,Delhi Daredevils,16.74,0,16.74,16.74,2013,2013,DA Warner|Delhi Daredevils,DA Warner|Delhi Daredevils|2013,750000
DJ Bravo,Chennai Super Kings,-17.66,232.07,214.41,214.42,2013,2013,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2013,200000
DJ Hussey,Kings XI Punjab,-12.09,27.92,15.83,15.83,2013,2013,DJ Hussey|Kings XI Punjab,DJ Hussey|Kings XI Punjab|2013,1400000
DPMD Jayawardene,Delhi Daredevils,-41.82,0,-41.82,-41.82,2013,2013,DPMD Jayawardene|Delhi Daredevils,DPMD Jayawardene|Delhi Daredevils|2013,1400000
DR Smith,Mumbai Indians,11.6,-24.18,-12.58,-12.58,2013,2013,DR Smith|Mumbai Indians,DR Smith|Mumbai Indians|2013,100000
DW Steyn,Sunrisers Hyderabad,176.16,-2015.94,-1839.78,-1839.78,2013,2013,DW Steyn|Sunrisers Hyderabad,DW Steyn|Sunrisers Hyderabad|2013,1200000
EJG Morgan,Kolkata Knight Riders,12.85,0,12.85,12.85,2013,2013,EJG Morgan|Kolkata Knight Riders,EJG Morgan|Kolkata Knight Riders|2013,350000
G Gambhir,Kolkata Knight Riders,-12.07,0,-12.07,-12.07,2013,2013,G Gambhir|Kolkata Knight Riders,G Gambhir|Kolkata Knight Riders|2013,2400000
GH Vihari,Sunrisers Hyderabad,-80.66,32.6,-48.06,-48.06,2013,2013,GH Vihari|Sunrisers Hyderabad,GH Vihari|Sunrisers Hyderabad|2013,#N/A
Harbhajan Singh,Mumbai Indians,13.05,566.27,579.32,579.33,2013,2013,Harbhajan Singh|Mumbai Indians,Harbhajan Singh|Mumbai Indians|2013,1300000
I Sharma,Sunrisers Hyderabad,0,-1244.36,-1244.36,-1244.36,2013,2013,I Sharma|Sunrisers Hyderabad,I Sharma|Sunrisers Hyderabad|2013,450000
IK Pathan,Delhi Daredevils,-43.84,243.54,199.7,199.7,2013,2013,IK Pathan|Delhi Daredevils,IK Pathan|Delhi Daredevils|2013,1900000
JD Unadkat,Royal Challengers Bangalore,0.8,255.05,255.85,255.85,2013,2013,JD Unadkat|Royal Challengers Bangalore,JD Unadkat|Royal Challengers Bangalore|2013,525000
JH Kallis,Kolkata Knight Riders,-71.56,219.15,147.59,147.59,2013,2013,JH Kallis|Kolkata Knight Riders,JH Kallis|Kolkata Knight Riders|2013,1100000
JP Faulkner,Rajasthan Royals,-6.17,439.07,432.9,432.9,2013,2013,JP Faulkner|Rajasthan Royals,JP Faulkner|Rajasthan Royals|2013,400000
KA Pollard,Mumbai Indians,43.09,-2.33,40.76,40.76,2013,2013,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2013,900000
KD Karthik,Mumbai Indians,11.63,0,11.63,11.63,2013,2013,KD Karthik|Mumbai Indians,KD Karthik|Mumbai Indians|2013,1200000
KK Cooper,Rajasthan Royals,11.38,133.54,144.92,144.92,2013,2013,KK Cooper|Rajasthan Royals,KK Cooper|Rajasthan Royals|2013,#N/A
KV Sharma,Sunrisers Hyderabad,83.66,-269.09,-185.43,-185.43,2013,2013,KV Sharma|Sunrisers Hyderabad,KV Sharma|Sunrisers Hyderabad|2013,#N/A
L Balaji,Kolkata Knight Riders,3,177.05,180.05,180.05,2013,2013,L Balaji|Kolkata Knight Riders,L Balaji|Kolkata Knight Riders|2013,500000
M Vijay,Chennai Super Kings,-34.03,0,-34.03,-34.03,2013,2013,M Vijay|Chennai Super Kings,M Vijay|Chennai Super Kings|2013,900000
MEK Hussey,Chennai Super Kings,61.45,0,61.45,61.45,2013,2013,MEK Hussey|Chennai Super Kings,MEK Hussey|Chennai Super Kings|2013,425000
MG Johnson,Mumbai Indians,4.33,362.4,366.73,366.74,2013,2013,MG Johnson|Mumbai Indians,MG Johnson|Mumbai Indians|2013,300000
MM Sharma,Chennai Super Kings,-3,449.71,446.71,446.71,2013,2013,MM Sharma|Chennai Super Kings,MM Sharma|Chennai Super Kings|2013,#N/A
MS Bisla,Kolkata Knight Riders,-32.14,0,-32.14,-32.14,2013,2013,MS Bisla|Kolkata Knight Riders,MS Bisla|Kolkata Knight Riders|2013,#N/A
MS Dhoni,Chennai Super Kings,86.87,0,86.87,86.87,2013,2013,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2013,3000000
Mandeep Singh,Kings XI Punjab,-9.26,0,-9.26,-9.26,2013,2013,Mandeep Singh|Kings XI Punjab,Mandeep Singh|Kings XI Punjab|2013,#N/A
NLTC Perera,Sunrisers Hyderabad,221.21,-1472.34,-1251.13,-1251.12,2013,2013,NLTC Perera|Sunrisers Hyderabad,NLTC Perera|Sunrisers Hyderabad|2013,650000
P Awana,Kings XI Punjab,-4.28,262.98,258.7,258.7,2013,2013,P Awana|Kings XI Punjab,P Awana|Kings XI Punjab|2013,60000
P Kumar,Kings XI Punjab,8.59,352.59,361.18,361.18,2013,2013,P Kumar|Kings XI Punjab,P Kumar|Kings XI Punjab|2013,800000
PA Patel,Sunrisers Hyderabad,331.84,0,331.84,331.84,2013,2013,PA Patel|Sunrisers Hyderabad,PA Patel|Sunrisers Hyderabad|2013,650000
PP Chawla,Kings XI Punjab,-2.5,325.3,322.8,322.81,2013,2013,PP Chawla|Kings XI Punjab,PP Chawla|Kings XI Punjab|2013,900000
PP Ojha,Mumbai Indians,-0.4,276.6,276.2,276.2,2013,2013,PP Ojha|Mumbai Indians,PP Ojha|Mumbai Indians|2013,800000
R Ashwin,Chennai Super Kings,5.68,423.86,429.54,429.54,2013,2013,R Ashwin|Chennai Super Kings,R Ashwin|Chennai Super Kings|2013,850000
R Bhatia,Kolkata Knight Riders,9.23,148.21,157.44,157.44,2013,2013,R Bhatia|Kolkata Knight Riders,R Bhatia|Kolkata Knight Riders|2013,#N/A
R Dravid,Rajasthan Royals,-30.34,0,-30.34,-30.34,2013,2013,R Dravid|Rajasthan Royals,R Dravid|Rajasthan Royals|2013,500000
R Rampaul,Royal Challengers Bangalore,-5.22,216.41,211.19,211.18,2013,2013,R Rampaul|Royal Challengers Bangalore,R Rampaul|Royal Challengers Bangalore|2013,290000
R Vinay Kumar,Royal Challengers Bangalore,14.76,138.57,153.33,153.33,2013,2013,R Vinay Kumar|Royal Challengers Bangalore,R Vinay Kumar|Royal Challengers Bangalore|2013,1000000
RA Jadeja,Chennai Super Kings,20.34,230.78,251.12,251.13,2013,2013,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2013,2000000
