Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season,Salaries
JO Holder,Sunrisers Hyderabad,1.4,-55.11,-53.71,-53.71,2020_21,2020,JO Holder|Sunrisers Hyderabad,JO Holder|Sunrisers Hyderabad|2020,105000
K Rabada,Delhi Capitals,1.95,-130.53,-128.58,-128.58,2020_21,2020,K Rabada|Delhi Capitals,K Rabada|Delhi Capitals|2020,656250
KA Pollard,Mumbai Indians,93.19,-42.6,50.59,50.59,2020_21,2020,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2020,843750
KL Rahul,Kings XI Punjab,21.84,0,21.84,21.84,2020_21,2020,KL Rahul|Kings XI Punjab,KL Rahul|Kings XI Punjab|2020,1718750
KS Williamson,Sunrisers Hyderabad,-11.37,-7.95,-19.32,-19.32,2020_21,2020,KS Williamson|Sunrisers Hyderabad,KS Williamson|Sunrisers Hyderabad|2020,468750
M Ashwin,Kings XI Punjab,-1.08,30.14,29.06,29.07,2020_21,2020,M Ashwin|Kings XI Punjab,M Ashwin|Kings XI Punjab|2020,28600
MA Agarwal,Kings XI Punjab,58.13,0,58.13,58.13,2020_21,2020,MA Agarwal|Kings XI Punjab,MA Agarwal|Kings XI Punjab|2020,156250
MK Pandey,Sunrisers Hyderabad,-26.67,0,-26.67,-26.67,2020_21,2020,MK Pandey|Sunrisers Hyderabad,MK Pandey|Sunrisers Hyderabad|2020,1718750
MP Stoinis,Delhi Capitals,44.01,-163.01,-119,-118.99,2020_21,2020,MP Stoinis|Delhi Capitals,MP Stoinis|Delhi Capitals|2020,685700
MS Dhoni,Chennai Super Kings,-38.44,0,-38.44,-38.44,2020_21,2020,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2020,2343750
Mohammed Shami,Kings XI Punjab,-1.12,-154.31,-155.43,-155.43,2020_21,2020,Mohammed Shami|Kings XI Punjab,Mohammed Shami|Kings XI Punjab|2020,685700
Mohammed Siraj,Royal Challengers Bangalore,2.45,-98.19,-95.74,-95.74,2020_21,2020,Mohammed Siraj|Royal Challengers Bangalore,Mohammed Siraj|Royal Challengers Bangalore|2020,406250
N Pooran,Kings XI Punjab,60.06,0,60.06,60.06,2020_21,2020,N Pooran|Kings XI Punjab,N Pooran|Kings XI Punjab|2020,600000
N Rana,Kolkata Knight Riders,16.47,-6.95,9.52,9.52,2020_21,2020,N Rana|Kolkata Knight Riders,N Rana|Kolkata Knight Riders|2020,531250
PJ Cummins,Kolkata Knight Riders,-6.26,-48.5,-54.76,-54.76,2020_21,2020,PJ Cummins|Kolkata Knight Riders,PJ Cummins|Kolkata Knight Riders|2020,2214300
PP Shaw,Delhi Capitals,18.57,0,18.57,18.57,2020_21,2020,PP Shaw|Delhi Capitals,PP Shaw|Delhi Capitals|2020,187500
Q de Kock,Mumbai Indians,23.25,0,23.25,23.25,2020_21,2020,Q de Kock|Mumbai Indians,Q de Kock|Mumbai Indians|2020,437500
R Ashwin,Delhi Capitals,-6.14,40.48,34.34,34.35,2020_21,2020,R Ashwin|Delhi Capitals,R Ashwin|Delhi Capitals|2020,1100000
R Tewatia,Rajasthan Royals,18.05,38.68,56.73,56.73,2020_21,2020,R Tewatia|Rajasthan Royals,R Tewatia|Rajasthan Royals|2020,430000
RA Jadeja,Chennai Super Kings,56.16,-52.24,3.92,3.91,2020_21,2020,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2020,1093750
RA Tripathi,Kolkata Knight Riders,-0.33,0,-0.33,-0.33,2020_21,2020,RA Tripathi|Kolkata Knight Riders,RA Tripathi|Kolkata Knight Riders|2020,85700
RD Chahar,Mumbai Indians,-2.16,-57.4,-59.56,-59.56,2020_21,2020,RD Chahar|Mumbai Indians,RD Chahar|Mumbai Indians|2020,296880
RD Gaikwad,Chennai Super Kings,-9.13,0,-9.13,-9.13,2020_21,2020,RD Gaikwad|Chennai Super Kings,RD Gaikwad|Chennai Super Kings|2020,28600
RG Sharma,Mumbai Indians,-4.78,0,-4.78,-4.78,2020_21,2020,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2020,2343750
RR Pant,Delhi Capitals,-36.61,0,-36.61,-36.61,2020_21,2020,RR Pant|Delhi Capitals,RR Pant|Delhi Capitals|2020,2343750
Rashid Khan,Sunrisers Hyderabad,-4.63,463.37,458.74,458.74,2020_21,2020,Rashid Khan|Sunrisers Hyderabad,Rashid Khan|Sunrisers Hyderabad|2020,1406250
Ravi Bishnoi,Kings XI Punjab,-8.23,72.47,64.24,64.25,2020_21,2020,Ravi Bishnoi|Kings XI Punjab,Ravi Bishnoi|Kings XI Punjab|2020,285700
S Dhawan,Delhi Capitals,59.22,0,59.22,59.22,2020_21,2020,S Dhawan|Delhi Capitals,S Dhawan|Delhi Capitals|2020,812500
SA Yadav,Mumbai Indians,41.23,0,41.23,41.23,2020_21,2020,SA Yadav|Mumbai Indians,SA Yadav|Mumbai Indians|2020,500000
SM Curran,Chennai Super Kings,2.02,-49.16,-47.14,-47.13,2020_21,2020,SM Curran|Chennai Super Kings,SM Curran|Chennai Super Kings|2020,785700
SN Thakur,Chennai Super Kings,-2.82,-70.81,-73.63,-73.63,2020_21,2020,SN Thakur|Chennai Super Kings,SN Thakur|Chennai Super Kings|2020,406250
SPD Smith,Rajasthan Royals,-18.29,0,-18.29,-18.29,2020_21,2020,SPD Smith|Rajasthan Royals,SPD Smith|Rajasthan Royals|2020,1953130
SR Watson,Chennai Super Kings,-34.2,0,-34.2,-34.2,2020_21,2020,SR Watson|Chennai Super Kings,SR Watson|Chennai Super Kings|2020,625000
SS Iyer,Delhi Capitals,-70.97,0,-70.97,-70.97,2020_21,2020,SS Iyer|Delhi Capitals,SS Iyer|Delhi Capitals|2020,1093750
SV Samson,Rajasthan Royals,44.45,0,44.45,44.45,2020_21,2020,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2020,1250000
Sandeep Sharma,Sunrisers Hyderabad,1.41,129.58,130.99,130.99,2020_21,2020,Sandeep Sharma|Sunrisers Hyderabad,Sandeep Sharma|Sunrisers Hyderabad|2020,468750
Shubman Gill,Kolkata Knight Riders,-30.6,0,-30.6,-30.6,2020_21,2020,Shubman Gill|Kolkata Knight Riders,Shubman Gill|Kolkata Knight Riders|2020,281250
T Natarajan,Sunrisers Hyderabad,1,-99.83,-98.83,-98.83,2020_21,2020,T Natarajan|Sunrisers Hyderabad,T Natarajan|Sunrisers Hyderabad|2020,62500
TA Boult,Mumbai Indians,-0.71,-27.02,-27.73,-27.73,2020_21,2020,TA Boult|Mumbai Indians,TA Boult|Mumbai Indians|2020,460000
V Kohli,Royal Challengers Bangalore,-25.35,0,-25.35,-25.35,2020_21,2020,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2020,2656250
WP Saha,Sunrisers Hyderabad,-2.64,0,-2.64,-2.64,2020_21,2020,WP Saha|Sunrisers Hyderabad,WP Saha|Sunrisers Hyderabad|2020,171400
YS Chahal,Royal Challengers Bangalore,-1,122.6,121.6,121.6,2020_21,2020,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2020,937500
A Nortje,Delhi Capitals,0,106.57,106.57,106.57,2021,2021,A Nortje|Delhi Capitals,A Nortje|Delhi Capitals|2021,28600
AB de Villiers,Royal Challengers Bangalore,43.56,0,43.56,43.56,2021,2021,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2021,1718750
AD Russell,Kolkata Knight Riders,30.56,-79.79,-49.23,-49.24,2021,2021,AD Russell|Kolkata Knight Riders,AD Russell|Kolkata Knight Riders|2021,1328130
AR Patel,Delhi Capitals,-17.4,159.28,141.88,141.88,2021,2021,AR Patel|Delhi Capitals,AR Patel|Delhi Capitals|2021,714300
AT Rayudu,Chennai Super Kings,31.92,0,31.92,31.92,2021,2021,AT Rayudu|Chennai Super Kings,AT Rayudu|Chennai Super Kings|2021,343750
Arshdeep Singh,Punjab Kings,0.29,-86.17,-85.88,-85.87,2021,2021,Arshdeep Singh|Punjab Kings,Arshdeep Singh|Punjab Kings|2021,28600
Avesh Khan,Delhi Capitals,1.6,11.05,12.65,12.64,2021,2021,Avesh Khan|Delhi Capitals,Avesh Khan|Delhi Capitals|2021,109380
C Sakariya,Rajasthan Royals,-12.34,-86.9,-99.24,-99.24,2021,2021,C Sakariya|Rajasthan Royals,C Sakariya|Rajasthan Royals|2021,171400
CH Morris,Rajasthan Royals,-1.04,-246,-247.04,-247.04,2021,2021,CH Morris|Rajasthan Royals,CH Morris|Rajasthan Royals|2021,2321400
CV Varun,Kolkata Knight Riders,-1.37,219.16,217.79,217.79,2021,2021,CV Varun|Kolkata Knight Riders,CV Varun|Kolkata Knight Riders|2021,1200000
D Padikkal,Royal Challengers Bangalore,-34.69,0,-34.69,-34.69,2021,2021,D Padikkal|Royal Challengers Bangalore,D Padikkal|Royal Challengers Bangalore|2021,28600
DJ Bravo,Chennai Super Kings,18.76,-12.9,5.86,5.86,2021,2021,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2021,1000000
DL Chahar,Chennai Super Kings,0.16,-74.52,-74.36,-74.36,2021,2021,DL Chahar|Chennai Super Kings,DL Chahar|Chennai Super Kings|2021,125000
F du Plessis,Chennai Super Kings,43.66,0,43.66,43.66,2021,2021,F du Plessis|Chennai Super Kings,F du Plessis|Chennai Super Kings|2021,250000
GJ Maxwell,Royal Challengers Bangalore,66.59,-14.52,52.07,52.07,2021,2021,GJ Maxwell|Royal Challengers Bangalore,GJ Maxwell|Royal Challengers Bangalore|2021,2035700
HV Patel,Royal Challengers Bangalore,0.8,-53.32,-52.52,-52.52,2021,2021,HV Patel|Royal Challengers Bangalore,HV Patel|Royal Challengers Bangalore|2021,31250
Ishan Kishan,Mumbai Indians,20.96,0,20.96,20.96,2021,2021,Ishan Kishan|Mumbai Indians,Ishan Kishan|Mumbai Indians|2021,968750
JC Buttler,Rajasthan Royals,30.65,0,30.65,30.65,2021,2021,JC Buttler|Rajasthan Royals,JC Buttler|Rajasthan Royals|2021,687500
JJ Bumrah,Mumbai Indians,1.69,8.47,10.16,10.17,2021,2021,JJ Bumrah|Mumbai Indians,JJ Bumrah|Mumbai Indians|2021,1093750
JM Bairstow,Sunrisers Hyderabad,23.41,0,23.41,23.41,2021,2021,JM Bairstow|Sunrisers Hyderabad,JM Bairstow|Sunrisers Hyderabad|2021,314300
