name,batting_score,bowling_score,overall_score,salary,team,season
SK Raina,56.01,-1.95,54.06,1583333,Chennai Super Kings,2014
SL Malinga,-1.97,127.59,125.62,1350000,Mumbai Indians,2014
SP Narine,-4.89,242.23,237.34,700000,Kolkata Knight Riders,2014
SR Watson,-9.47,-23.67,-33.14,1300000,Rajasthan Royals,2014
Sandeep Sharma,-0.21,-117.15,-117.36,141000,Kings XI Punjab,2014
Shakib Al Hasan,11.32,174.02,185.34,466000,Kolkata Knight Riders,2014
UT Yadav,-1.62,-97.32,-98.94,433000,Kolkata Knight Riders,2014
V Kohli,-22.09,0,-22.09,2500000,Royal Challengers Bangalore,2014
V Sehwag,37.97,0,37.97,533000,Kings XI Punjab,2014
VR Aaron,4.22,-67.04,-62.82,333000,Royal Challengers Bangalore,2014
WP Saha,39.15,0,39.15,366000,Kings XI Punjab,2014
YK Pathan,55.3,-1.9,53.4,541000,Kolkata Knight Riders,2014
YS Chahal,0.12,102.1,102.22,16000,Royal Challengers Bangalore,2014
Yuvraj Singh,-15.82,-18.14,-33.96,2333000,Royal Challengers Bangalore,2014
A Nehra,-4.25,-3.11,-7.36,333000,Chennai Super Kings,2015
AB de Villiers,97.27,0,97.27,1583333,Royal Challengers Bangalore,2015
AD Russell,87.33,392.01,479.34,100000,Kolkata Knight Riders,2015
AM Rahane,2.21,0,2.21,1333333,Rajasthan Royals,2015
AR Patel,235.67,-1334.74,-1099.07,125000,Kings XI Punjab,2015
Anureet Singh,14.8,-2560.8,-2546,33000,Kings XI Punjab,2015
B Kumar,5.58,496.88,502.46,708000,Sunrisers Hyderabad,2015
BB McCullum,473.13,0,473.13,541000,Chennai Super Kings,2015
CH Gayle,63.99,5.32,69.31,1400000,Royal Challengers Bangalore,2015
CH Morris,22.34,449.7,472.04,233333,Rajasthan Royals,2015
D Wiese,-4.46,352.12,347.66,466667,Royal Challengers Bangalore,2015
DA Miller,251.86,0,251.86,833333,Kings XI Punjab,2015
DA Warner,94.14,0,94.14,916000,Sunrisers Hyderabad,2015
DJ Bravo,-10.94,-564.76,-575.7,666667,Chennai Super Kings,2015
DR Smith,640.2,6.26,646.46,750000,Chennai Super Kings,2015
DS Kulkarni,-5,326.36,321.36,183000,Rajasthan Royals,2015
F du Plessis,-7.51,0,-7.51,791000,Chennai Super Kings,2015
G Gambhir,-35.82,0,-35.82,1666667,Kolkata Knight Riders,2015
GJ Bailey,87.74,0,87.74,541000,Kings XI Punjab,2015
HV Patel,3.39,463.93,467.32,66000,Royal Challengers Bangalore,2015
Harbhajan Singh,19.2,372.02,391.22,1333333,Mumbai Indians,2015
IC Pandey,0,-526.74,-526.74,250000,Chennai Super Kings,2015
J Suchith,11.2,339.16,350.36,16667,Mumbai Indians,2015
JP Duminy,-8.54,202.56,194.02,366000,Delhi Daredevils,2015
KA Pollard,49.85,45.39,95.24,900000,Mumbai Indians,2015
KV Sharma,-2.35,339.16,336.81,625000,Sunrisers Hyderabad,2015
M Morkel,1.75,322.25,324,466000,Kolkata Knight Riders,2015
M Vijay,199.34,18.52,217.86,500000,Kings XI Punjab,2015
MA Agarwal,-24.75,0,-24.75,266000,Delhi Daredevils,2015
MA Starc,-4.98,533.89,528.91,833000,Royal Challengers Bangalore,2015
MC Henriques,7.6,361.71,369.31,166000,Sunrisers Hyderabad,2015
MG Johnson,22.17,-1719.45,-1697.28,1083000,Kings XI Punjab,2015
MJ McClenaghan,6.15,407.5,413.65,50000,Mumbai Indians,2015
MK Pandey,-16.64,0,-16.64,283000,Kolkata Knight Riders,2015
MM Sharma,7.85,-165.74,-157.89,333000,Chennai Super Kings,2015
MS Dhoni,471.88,0,471.88,2083333,Chennai Super Kings,2015
NM Coulter-Nile,-2.3,447.27,444.97,708000,Delhi Daredevils,2015
PA Patel,24.65,0,24.65,233000,Mumbai Indians,2015
PP Chawla,-1.94,377.16,375.22,708000,Kolkata Knight Riders,2015
R Ashwin,13.18,302.4,315.58,1250000,Chennai Super Kings,2015
RA Jadeja,238.17,-424.94,-186.77,916667,Chennai Super Kings,2015
RG Sharma,21.34,0,21.34,1916667,Mumbai Indians,2015
RV Uthappa,-0.88,0,-0.88,833000,Kolkata Knight Riders,2015
S Dhawan,-16.12,0,-16.12,2083333,Sunrisers Hyderabad,2015
SK Raina,299.31,43.63,342.94,1583333,Chennai Super Kings,2015
SL Malinga,-6.56,645.07,638.51,1350000,Mumbai Indians,2015
SPD Smith,3.07,0,3.07,666000,Rajasthan Royals,2015
SR Watson,6.86,168.28,175.14,1300000,Rajasthan Royals,2015
SS Iyer,-14.52,0,-14.52,433333,Delhi Daredevils,2015
Sandeep Sharma,4.2,-1073.56,-1069.36,141000,Kings XI Punjab,2015
UT Yadav,11.09,273.47,284.56,433000,Kolkata Knight Riders,2015
V Kohli,13.32,11.32,24.64,2500000,Royal Challengers Bangalore,2015
WP Saha,146.67,0,146.67,366000,Kings XI Punjab,2015
YK Pathan,-2.33,12.43,10.1,541000,Kolkata Knight Riders,2015
